family,stage,prompt,layer,n_layers,layer_frac,mean_entropy,std_entropy,n_heads
olmo,base,She was so angry she wanted to,0,32,0.0,1.1689228639006615,0.4998253515207688,32
olmo,base,She was so angry she wanted to,1,32,0.03225806451612903,0.8209582147210313,0.5582048544596745,32
olmo,base,She was so angry she wanted to,2,32,0.06451612903225806,0.7910927987541072,0.5637443782561943,32
olmo,base,She was so angry she wanted to,3,32,0.0967741935483871,1.289502383209765,0.48989470997233314,32
olmo,base,She was so angry she wanted to,4,32,0.12903225806451613,1.150643583969213,0.44917862715405776,32
olmo,base,She was so angry she wanted to,5,32,0.16129032258064516,1.0881537701934576,0.43220130240284954,32
olmo,base,She was so angry she wanted to,6,32,0.1935483870967742,0.9344008648768067,0.526579584000304,32
olmo,base,She was so angry she wanted to,7,32,0.22580645161290322,1.1594846667721868,0.5921514865543382,32
olmo,base,She was so angry she wanted to,8,32,0.25806451612903225,0.9272426967509091,0.5133695555083976,32
olmo,base,She was so angry she wanted to,9,32,0.2903225806451613,0.9483975233742967,0.613105031710886,32
olmo,base,She was so angry she wanted to,10,32,0.3225806451612903,0.7492917336057872,0.5168836741699242,32
olmo,base,She was so angry she wanted to,11,32,0.3548387096774194,1.0965460436418653,0.510295945370437,32
olmo,base,She was so angry she wanted to,12,32,0.3870967741935484,0.7707906999858096,0.6314859551368076,32
olmo,base,She was so angry she wanted to,13,32,0.41935483870967744,0.6349366576760076,0.547242721225646,32
olmo,base,She was so angry she wanted to,14,32,0.45161290322580644,0.6122920785564929,0.5018038400812525,32
olmo,base,She was so angry she wanted to,15,32,0.4838709677419355,0.9065189100801945,0.5084855875667367,32
olmo,base,She was so angry she wanted to,16,32,0.5161290322580645,0.5845744356629439,0.5152534505966555,32
olmo,base,She was so angry she wanted to,17,32,0.5483870967741935,0.6143794000672642,0.5254413419905911,32
olmo,base,She was so angry she wanted to,18,32,0.5806451612903226,0.569073236110853,0.490484181470305,32
olmo,base,She was so angry she wanted to,19,32,0.6129032258064516,0.6558467815630138,0.42938887786319274,32
olmo,base,She was so angry she wanted to,20,32,0.6451612903225806,0.37351077946368605,0.46255013735904793,32
olmo,base,She was so angry she wanted to,21,32,0.6774193548387096,0.45104716871719575,0.48787733584325804,32
