family,stage,prompt,prompt_key,prompt_type,side,layer,n_layers,layer_frac,h_attention,h_residual,eff_vocab_residual,h_prenorm,h_postnorm,h_layernorm_delta,h_value_proj,gate_open_frac,gate_mean_mag,gate_sparsity
amber,base,She was so angry she wanted to,,key,,0,32,0.0,1.3837590438633924,8.213573455810547,108,,,,7.336489677429199,0.9326853156089783,0.20219554007053375,0.0031795057002454996
amber,base,She was so angry she wanted to,,key,,1,32,0.03225806451612903,1.1711107222363353,8.349316596984863,101,,,,3.0751640796661377,0.8710029125213623,0.1879637986421585,0.009084302000701427
amber,base,She was so angry she wanted to,,key,,2,32,0.06451612903225806,1.1792298574000597,8.100857734680176,121,,,,5.746497631072998,0.8311228156089783,0.18140512704849243,0.011991279199719429
amber,base,She was so angry she wanted to,,key,,3,32,0.0967741935483871,1.330427528358996,8.044809341430664,122,,,,2.2026467323303223,0.8451126217842102,0.1887996643781662,0.012082122266292572
amber,base,She was so angry she wanted to,,key,,4,32,0.12903225806451613,1.5329396408051252,7.9478044509887695,136,,,,3.2802951335906982,0.8137717843055725,0.1868182271718979,0.017260175198316574
amber,base,She was so angry she wanted to,,key,,5,32,0.16129032258064516,1.5983195072039962,7.812169075012207,155,,,,2.625591516494751,0.8295784592628479,0.1920068860054016,0.016442587599158287
amber,base,She was so angry she wanted to,,key,,6,32,0.1935483870967742,1.6525262715294957,7.420445442199707,170,,,,4.0953850746154785,0.8348473906517029,0.2014482021331787,0.014080668799579144
amber,base,She was so angry she wanted to,,key,,7,32,0.22580645161290322,1.6625611772760749,7.449378967285156,163,,,,4.901933193206787,0.8395712375640869,0.20747676491737366,0.014534884132444859
amber,base,She was so angry she wanted to,,key,,8,32,0.25806451612903225,1.6201862022280693,6.90489387512207,172,,,,4.434641361236572,0.8479287624359131,0.2182701677083969,0.016715116798877716
amber,base,She was so angry she wanted to,,key,,9,32,0.2903225806451613,1.533981803804636,6.704652309417725,148,,,,5.733609199523926,0.8436591625213623,0.2196999043226242,0.015079941600561142
amber,base,She was so angry she wanted to,,key,,10,32,0.3225806451612903,1.4271741192787886,6.769647598266602,150,,,,4.563043594360352,0.828670084476471,0.22386424243450165,0.015715843066573143
amber,base,She was so angry she wanted to,,key,,11,32,0.3548387096774194,1.3476448580622673,6.421745300292969,143,,,,4.736618995666504,0.8238554000854492,0.23163676261901855,0.017623545601963997
amber,base,She was so angry she wanted to,,key,,12,32,0.3870967741935484,1.3041028222069144,6.241596221923828,170,,,,3.5475707054138184,0.8151344656944275,0.24727222323417664,0.01653343066573143
amber,base,She was so angry she wanted to,,key,,13,32,0.41935483870967744,1.283375347033143,5.87716817855835,141,,,,3.9890363216400146,0.7951489686965942,0.2648090720176697,0.01835029013454914
amber,base,She was so angry she wanted to,,key,,14,32,0.45161290322580644,1.286213619634509,6.569319725036621,148,,,,4.698833465576172,0.7958757281303406,0.2911764085292816,0.019712936133146286
amber,base,She was so angry she wanted to,,key,,15,32,0.4838709677419355,1.1901381704956293,6.372331619262695,152,,,,3.983797073364258,0.7957848906517029,0.3098565340042114,0.022347383201122284
amber,base,She was so angry she wanted to,,key,,16,32,0.5161290322580645,1.0901016341522336,5.313079833984375,115,,,,5.103692054748535,0.8131359219551086,0.3448541760444641,0.017532704398036003
amber,base,She was so angry she wanted to,,key,,17,32,0.5483870967741935,1.194140097431955,4.801862716674805,93,,,,5.820171356201172,0.8164970874786377,0.3746698200702667,0.01716933213174343
amber,base,She was so angry she wanted to,,key,,18,32,0.5806451612903226,1.0479357801377773,4.731020927429199,102,,,,4.52444314956665,0.8258539438247681,0.3952283561229706,0.018259447067975998
amber,base,She was so angry she wanted to,,key,,19,32,0.6129032258064516,0.9214851297438145,4.103030681610107,80,,,,5.891477108001709,0.819767415523529,0.41474398970603943,0.01835029013454914
amber,base,She was so angry she wanted to,,key,,20,32,0.6451612903225806,0.9259578014316503,2.527838945388794,43,,,,4.141997337341309,0.8330305218696594,0.4595757722854614,0.01589752919971943
amber,base,She was so angry she wanted to,,key,,21,32,0.6774193548387096,1.1152218426577747,0.7280020713806152,18,,,,5.09528112411499,0.8493822813034058,0.4957878589630127,0.015988372266292572
amber,base,She was so angry she wanted to,,key,,22,32,0.7096774193548387,0.9187851939350367,1.1901638507843018,21,,,,4.514944553375244,0.8594658374786377,0.5214972496032715,0.015170784667134285
amber,base,She was so angry she wanted to,,key,,23,32,0.7419354838709677,0.8823707269039005,0.46512264013290405,8,,,,0.7800661325454712,0.8605559468269348,0.5418451428413391,0.015079941600561142
amber,base,She was so angry she wanted to,,key,,24,32,0.7741935483870968,0.8104680278338492,0.39776456356048584,8,,,,1.6446919441223145,0.8665515780448914,0.5762388706207275,0.013898982666432858
amber,base,She was so angry she wanted to,,key,,25,32,0.8064516129032258,0.8220769567415118,0.6654592752456665,8,,,,3.8019559383392334,0.8779978156089783,0.6282345056533813,0.013444767333567142
amber,base,She was so angry she wanted to,,key,,26,32,0.8387096774193549,0.7091274277772754,0.6794701218605042,8,,,,3.2170777320861816,0.8802688717842102,0.6961542367935181,0.012354651466012001
