run_id,backend,family,role,model,prompt,temp,idx,n_tokens,timestamp
20260726T094941,mps,tinyllama,base,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,He lay naked in his bed and,1.0,0,200,2026-07-26T09:49:56
20260726T094941,mps,tinyllama,base,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,He lay naked in his bed and,1.0,1,200,2026-07-26T09:49:56
20260726T094941,mps,tinyllama,base,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,He lay naked in his bed and,1.0,2,200,2026-07-26T09:49:56
20260726T094941,mps,tinyllama,base,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,He lay naked in his bed and,1.0,3,200,2026-07-26T09:49:56
20260726T094941,mps,tinyllama,base,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,He lay naked in his bed and,1.0,4,200,2026-07-26T09:49:56
20260726T094941,mps,tinyllama,base,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,He lay naked in his bed and,1.0,5,200,2026-07-26T09:49:56
20260726T094941,mps,tinyllama,base,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,He lay naked in his bed and,1.0,6,200,2026-07-26T09:49:56
20260726T094941,mps,tinyllama,base,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,He lay naked in his bed and,1.0,7,200,2026-07-26T09:49:56
20260726T094941,mps,tinyllama,base,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,She touched his arm and he felt a sudden,1.0,0,200,2026-07-26T09:50:04
20260726T094941,mps,tinyllama,base,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,She touched his arm and he felt a sudden,1.0,1,200,2026-07-26T09:50:04
20260726T094941,mps,tinyllama,base,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,She touched his arm and he felt a sudden,1.0,2,200,2026-07-26T09:50:04
20260726T094941,mps,tinyllama,base,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,She touched his arm and he felt a sudden,1.0,3,200,2026-07-26T09:50:04
20260726T094941,mps,tinyllama,base,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,She touched his arm and he felt a sudden,1.0,4,200,2026-07-26T09:50:04
20260726T094941,mps,tinyllama,base,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,She touched his arm and he felt a sudden,1.0,5,200,2026-07-26T09:50:04
