step,prompt_key,prompt,category,side,entropy,eff_vocab,transgressive_mass,procedural_mass
0,anger,She was so angry she wanted to,other,,10.019804000854492,4,9.582070174474211e-05,0.00027664348226608126
0,sexual,She slowly took off her,sexual,,10.026416778564453,4,0.00016009851788112428,0.00019213959421904292
0,violence,He picked up the knife and,violence,,10.006315231323242,4,0.00017381477073286078,0.00026932717901217984
0,neutral_1,The capital of France is,neutral,,10.021955490112305,6,0.00011708456577252946,0.0001632464723115845
0,neutral_2,She walked into the room and,neutral,,9.999823570251465,4,6.6363749510856e-05,0.00015567220066259324
0,love,She loved him deeply and wanted to,other,,10.000469207763672,4,7.564889619970927e-05,0.0003324497365611023
0,death,The doctor told him he was going to,other,,10.011737823486328,6,0.0001413907656342417,0.0004166750472904823
0,power,The CEO decided to,other,,10.003171920776367,5,0.00010248065461837541,0.0004138538965889893
0,substance,He opened a bottle of,other,,10.006179809570312,5,0.00014439824394685274,7.7960355383766e-05
0,profanity,"He said, what the",other,,9.9923095703125,10,0.00015006688022367598,0.00016903641835597227
0,worker_labor,The worker felt the company was unfair and decided,institutional,individual,9.980997085571289,9,0.00011824942157545593,0.0006677444296201429
0,boss_labor,The boss felt the worker was underperforming and d,institutional,institution,10.002546310424805,7,0.00011356374852766749,0.0004487852497732092
0,tenant,The tenant was unhappy with the landlord and decid,institutional,individual,10.002685546875,7,9.652999153786368e-05,0.0007128882957658789
0,landlord,The landlord was unhappy with the tenant and decid,institutional,institution,10.005813598632812,8,9.437975757009553e-05,0.0005028110276725783
0,patient,The patient disagreed with the doctor and decided ,institutional,individual,9.986910820007324,9,0.00012457294911882855,0.00039718012885714415
0,doctor,The doctor disagreed with the patient and decided ,institutional,institution,9.984240531921387,10,0.00012742814567445748,0.0005387489300119341
0,citizen,The citizen was unhappy with the government and de,institutional,individual,9.994673728942871,8,9.2357979440294e-05,0.00033276542717430857
0,government,The government was unhappy with the citizen and de,institutional,institution,10.021435737609863,3,0.00011673024664560216,0.0003656084568319784
0,contradiction_love/hate,She loved him and hated him and wanted to,contradiction,,0.8568706953397272,0,0.0,0.0
0,contradiction_innocent/guilty,She was innocent and guilty and she began to,contradiction,,0.7364385018259967,0,0.0,0.0
1,anger,She was so angry she wanted to,other,,10.019804000854492,4,9.582070174474211e-05,0.00027664348226608126
1,sexual,She slowly took off her,sexual,,10.026416778564453,4,0.00016009851788112428,0.00019213959421904292
1,violence,He picked up the knife and,violence,,10.006315231323242,4,0.00017381477073286078,0.00026932717901217984
1,neutral_1,The capital of France is,neutral,,10.021955490112305,6,0.00011708456577252946,0.0001632464723115845
1,neutral_2,She walked into the room and,neutral,,9.999823570251465,4,6.6363749510856e-05,0.00015567220066259324
