pair,role,member,domain,n_beams,E-QUIZ,E-QA,E-TASK,E-ASSIST,E-MENTION,E-META,REFUSAL
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,MARKED,animal,1500,0,3,2,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,MARKED,betrayal,1500,0,2,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,MARKED,power,1500,0,7,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,MARKED,property,1500,0,1,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,MARKED,sexual,1500,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,MARKED,taboo,1500,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,MARKED,violence,1500,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,UNMARKED,animal,1500,0,1,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,UNMARKED,betrayal,1500,0,2,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,UNMARKED,power,1500,0,0,19,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,UNMARKED,property,1500,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,UNMARKED,sexual,1500,0,1,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,UNMARKED,taboo,1500,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,aligned,UNMARKED,violence,1500,0,0,0,0,0,0,3
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,MARKED,animal,1500,0,0,3,0,0,0,2
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,MARKED,betrayal,1500,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,MARKED,power,1500,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,MARKED,property,1500,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,MARKED,sexual,1500,0,0,0,0,0,0,1
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,MARKED,taboo,1500,0,0,0,0,0,0,1
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,MARKED,violence,1500,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,UNMARKED,animal,1500,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,UNMARKED,betrayal,1500,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,UNMARKED,power,1500,0,0,15,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,UNMARKED,property,1500,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,UNMARKED,sexual,1500,0,0,0,0,0,0,1
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,UNMARKED,taboo,1500,0,0,0,0,0,0,0
01-ai/Yi-1.5-9B>01-ai/Yi-1.5-9B-Chat,base,UNMARKED,violence,1500,0,0,0,0,0,0,1
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,MARKED,animal,1500,0,0,1,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,MARKED,betrayal,1500,0,0,0,0,8,0,1
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,MARKED,power,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,MARKED,property,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,MARKED,sexual,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,MARKED,taboo,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,MARKED,violence,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,UNMARKED,animal,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,UNMARKED,betrayal,1500,0,0,0,0,0,0,1
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,UNMARKED,power,1500,0,0,31,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,UNMARKED,property,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,UNMARKED,sexual,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,UNMARKED,taboo,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,aligned,UNMARKED,violence,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,MARKED,animal,1500,0,0,1,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,MARKED,betrayal,1500,0,0,0,0,4,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,MARKED,power,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,MARKED,property,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,MARKED,sexual,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,MARKED,taboo,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,MARKED,violence,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,UNMARKED,animal,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,UNMARKED,betrayal,1500,0,0,0,0,0,0,1
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,UNMARKED,power,1500,0,0,33,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,UNMARKED,property,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,UNMARKED,sexual,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,UNMARKED,taboo,1500,0,0,0,0,0,0,0
EleutherAI/pythia-2.8b>ContextualAI/archangel_sft-dpo_pythia2-8b,base,UNMARKED,violence,1500,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,aligned,MARKED,animal,1500,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,aligned,MARKED,betrayal,1500,0,0,0,0,14,0,1
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,aligned,MARKED,power,1500,0,0,1,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,aligned,MARKED,property,1500,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,aligned,MARKED,sexual,1500,0,0,0,0,0,0,4
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,aligned,MARKED,taboo,1500,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,aligned,MARKED,violence,1500,0,0,0,0,0,0,1
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,aligned,UNMARKED,animal,1500,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,aligned,UNMARKED,betrayal,1500,0,0,0,0,0,0,1
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,aligned,UNMARKED,power,1500,0,0,20,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,aligned,UNMARKED,property,1500,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,aligned,UNMARKED,sexual,1500,0,0,0,0,0,0,4
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,aligned,UNMARKED,taboo,1500,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,aligned,UNMARKED,violence,1500,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,base,MARKED,animal,1500,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,base,MARKED,betrayal,1500,0,0,0,0,8,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,base,MARKED,power,1500,0,0,1,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,base,MARKED,property,1500,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,base,MARKED,sexual,1500,0,0,0,0,0,0,3
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,base,MARKED,taboo,1500,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,base,MARKED,violence,1500,0,0,0,0,0,0,0
EleutherAI/pythia-6.9b>lomahony/eleuther-pythia6.9b-hh-dpo,base,UNMARKED,animal,1500,0,0,0,0,0,0,0
